0063::2018首届中国养老产品暨康复辅具设计大赛::工科	材料高分子	湖南省民政厅	自由	组队赛	2213	免费
0064::“汇新杯”新兴科技+互联网创新大赛火热报名中::工科	材料高分子	工业和信息化部工业文化发展中心  深圳市龙华区人民政府	国家级	组队赛	5483	免费
0065::”汇新杯“新兴科技+互联网创新大赛::工科	材料高分子	工业和信息化部工业文化发展中心 深圳市龙华区人民政府	国家级	组队赛	5196	免费
0066::“恒宇杯”第三届南昌大学金相技能大赛暨第七届全国大学生金相技能大赛选拔赛::工科	材料高分子	南昌大学教务处	校级	组队赛	1774	免费
0067::2017第十一届iCAN国际创新创业大赛::工科	材料高分子	国际iCAN联盟 全球华人微纳米分子系统学会 教育部创新方法教学指导分委员会 北京大学 北京市昌平区人民政府	国际级	组队赛	5099	免费
0068::2020第三届全国集成电路“创业之芯”大赛开始报名::工科	材料高分子	工信部人才交流中心	省级	组队赛	28701	免费
0069::2020“SCIP+”绿色化学化工创新创业大赛::工科	材料高分子	创新创业大赛组织委员会	国家级	组队赛	3629	免费
0070::第八届“金三发，兰精，安德里茨”杯全国大学生非织造材料开发与应用::工科	材料高分子	中国纺织服装教育学会 中国产业用纺织品行业协会	省级	组队赛	1666	免费
0071::2020第八届中国大学生高分子材料创新创业大赛::工科	材料高分子	中国石油和化学工业联合会 中国化工教育协会 中共广饶县县委 广饶县人民政府 橡胶谷集团有限公司	国家级	组队赛	8252	免费
0072::第十三届“西门子杯”中国智能制造挑战赛吉林大学总通知::工科	材料高分子	吉林大学教务处	校级	组队赛	16411	免费
0073::2018首届中国养老产品暨康复辅具设计大赛::工科	材料高分子	湖南省民政厅	自由	组队赛	2214	免费
0074::“汇新杯”新兴科技+互联网创新大赛火热报名中::工科	材料高分子	工业和信息化部工业文化发展中心  深圳市龙华区人民政府	国家级	组队赛	5485	免费
0075::”汇新杯“新兴科技+互联网创新大赛::工科	材料高分子	工业和信息化部工业文化发展中心 深圳市龙华区人民政府	国家级	组队赛	5198	免费
0076::“恒宇杯”第三届南昌大学金相技能大赛暨第七届全国大学生金相技能大赛选拔赛::工科	材料高分子	南昌大学教务处	校级	组队赛	1775	免费
0077::2017第十一届iCAN国际创新创业大赛::工科	材料高分子	国际iCAN联盟 全球华人微纳米分子系统学会 教育部创新方法教学指导分委员会 北京大学 北京市昌平区人民政府	国际级	组队赛	5100	免费
0078::2017年陕西省第二届微结构摄影大赛 ::工科	材料高分子	西省复合材料研究学会 陕西省材料分析研究中心 陕西省电子显微镜学会 西北工业大学党委研究生工作部	省级	组队赛	2092	免费
0079::2017年“光威杯”中国大学生高性能复合材料科技创新竞赛::工科	材料高分子	中国化工教育协会 威海火炬高技术产业开发区	国家级	组队赛	4233	免费
0080::第四届中国大学生高分子材料创新创业大赛::工科	材料高分子	中国石油和化学工业联合会	国家级	组队赛	5703	免费
0081::“上玮杯”第二届全国大学生复合材料设计与制作大赛::工科	材料高分子	中国复合材料工业协会 中国国际复合材料工业技术展览会组委会	国家级	组队赛	4307	免费
0082::2016年第八届SAMPE中国超轻复合材料机翼/桥梁竞赛::工科	材料高分子	中国航空学会 SAMPE北京分会 SAMPE上海分会 中航工业基础技术研究院	国家级	组队赛	8706	免费
0083::2016年第八届超轻复合材料制造学生竞赛::工科	材料高分子	中航工业基础技术研究院 中国航空学会 SAMPE北京分会 SAMPE上海分会	国家级	组队赛	3595	免费
0084::第八届超轻复合材料制造学生竞赛::工科	材料高分子	中航工业基础技术研究院 中国航空学会 SAMPE北京分会 SAMPE上海分会	国际级	组队赛	7316	免费
0085::广东省第五届大学生材料创新大赛::工科	材料高分子	广东省材料研究学会	省级	组队赛	4915	免费
0086::“上玮杯”第一届全国大学生复合材料设计与制作大赛::工科	材料高分子	中国复合材料工业协会 中国国际复合材料工业技术展览会组委会	国家级	组队赛	4726	免费
0087::2015年中国大学生高分子材料创新创业大赛::工科	材料高分子	中国石油和化学工业联合会 中国化工教育协会 青岛市科技局 橡胶谷集团有限公司	国家级	组队赛	12160	免费
0088::西南交通大学紫外光度法测定市售VC片剂中抗坏血酸的含量竞赛::工科	材料高分子	西南交通大学教务处、研究生院、学生处、人事处、团委	校级	组队赛	2706	免费
0089::西南交通大学焊接技术实验技能大赛－焊接环节::工科	材料高分子	西南交通大学教务处、研究生院、学生处、人事处、团委	校级	组队赛	2806	免费
0090::西南交通大学粘度法测定聚合物分子量竞赛::工科	材料高分子	西南交通大学教务处、研究生院、学生处、人事处、团委	校级	组队赛	2415	免费
0091::首届四川省高校大学生金属材料综合实验技能竞赛::工科	材料高分子	西南交通大学教务处、研究生院、学生处、人事处、团委	校级	组队赛	3056	免费
0092::2015年全国大学生混凝土材料设计大赛::工科	材料高分子	教育部无机非金属材料专业教学指导委员会 中国混凝土与水泥制品协会	国家级	组队赛	9794	免费
0093::2015年超轻复合材料桥梁/机翼学生竞赛::工科	材料高分子	中航工业基础技术研究院 中国航空学会 SAMPE北京分会 SAMPE上海分会	国家级	组队赛	5206	免费
0094::2014年中国大学生新材料创新设计大赛::工科	材料高分子	工业和信息化部	国家级	组队赛	14496	免费
0095::2013年黑龙江省大学生材料科学与工程创新设计大赛::工科	材料高分子	黑龙江省工业和信息化委员会 黑龙江省教育厅 黑龙江省新材料产业协会 黑龙江省金属学会 黑龙江省学生联合会	省级	组队赛	5489	免费
0096::大连理工大学第三届“欧波同杯”大学生金相技能大赛::工科	材料高分子	大连理工大学教务处	校级	组队赛	3058	免费
0097::中国矿业大学材料学院第三届金相技能大赛暨第四届全国大学生金相技能大赛::工科	材料高分子	中国矿业大学材料学院	校级	组队赛	2728	免费
0098::云南师范大学文理学院数学建模挑战赛::理科	力学	云南师范大学文理学院	校级	组队赛	4084	免费
0099::第十三届“西门子杯”中国智能制造挑战赛吉林大学总通知::理科	力学	吉林大学教务处	校级	组队赛	16412	免费
0100::2021年第十三届全国周培源大学生力学竞赛::理科	力学	中华人民共和国教育部 中国力学学会 周培源基金会	国家级	组队赛	17964	免费
0101::第六届创新思维竞技赛(分赛)——多米诺骨牌::理科	力学	共青团中国矿业大学委员会 中国矿业大学大学生科学技术协会	市级	组队赛	9787	免费
0102::中国矿业大学第六届创新思维竞技赛::理科	力学	共青团中国矿业大学委员会 中国矿业大学大学生科学技术协会	市级	个人赛	10216	免费
0103::第十二届全国周培源大学生力学竞赛西工大赛区::理科	力学	第十二届全国周培源大学生力学竞赛组委会 中国力学学会	国家级	个人赛	24260	免费
0104::山东科技大学赛区::理科	力学	教育部高等教育司	国家级	个人赛	10541	免费
0105::中国矿业大学“我与蓝天有个约会”空气动力飞机大赛::理科	力学	共青团中国矿业大学委员会 中国矿业大学大学生科学技术协会	校级	组队赛	9296	免费
0106::第五届创新思维竞技赛(分赛)—多米诺骨牌::理科	力学	共青团中国矿业大学委员会 中国矿业大学大学生科学技术协会	市级	组队赛	10836	免费
0107::第五届中国矿业大学创新思维竞技赛::理科	力学	共青团中国矿业大学委员会 中国矿业大学大学生科学技术协会	市级	个人赛	9709	免费
0108::云南师范大学文理学院数学建模挑战赛::理科	力学	云南师范大学文理学院	校级	组队赛	4087	免费
0109::第十三届“西门子杯”中国智能制造挑战赛吉林大学总通知::理科	力学	吉林大学教务处	校级	组队赛	16413	免费
0110::2021年第十三届全国周培源大学生力学竞赛::理科	力学	中华人民共和国教育部 中国力学学会 周培源基金会	国家级	组队赛	17965	免费
0111::第六届创新思维竞技赛(分赛)——多米诺骨牌::理科	力学	共青团中国矿业大学委员会 中国矿业大学大学生科学技术协会	市级	组队赛	9788	免费
0112::中国矿业大学第六届创新思维竞技赛::理科	力学	共青团中国矿业大学委员会 中国矿业大学大学生科学技术协会	市级	个人赛	10217	免费
0113::第十二届全国周培源大学生力学竞赛西工大赛区::理科	力学	第十二届全国周培源大学生力学竞赛组委会 中国力学学会	国家级	个人赛	24261	免费
0114::山东科技大学赛区::理科	力学	教育部高等教育司	国家级	个人赛	10542	免费
0115::中国矿业大学“我与蓝天有个约会”空气动力飞机大赛::理科	力学	共青团中国矿业大学委员会 中国矿业大学大学生科学技术协会	校级	组队赛	9297	免费
0116::第五届创新思维竞技赛(分赛)—多米诺骨牌::理科	力学	共青团中国矿业大学委员会 中国矿业大学大学生科学技术协会	市级	组队赛	10837	免费
0117::第五届中国矿业大学创新思维竞技赛::理科	力学	共青团中国矿业大学委员会 中国矿业大学大学生科学技术协会	市级	个人赛	9710	免费
0118::第五届创新思维竞技赛(分赛)—纸牌搭建::理科	力学	共青团中国矿业大学委员会 共青团中国矿业大学委员会	市级	组队赛	6633	免费
0119::2018年“第三届上海市大学生力学竞赛”上海大学学生报名通知::理科	力学	上海市力学学会	市级	个人赛	9708	免费
0120::2017年浙江省第六届大学生力学竞赛::理科	力学	浙江省教育厅	省级	组队赛	5805	免费
0121::西南交通大学第九届“力学创新实验”大赛暨第二届力学创作设计大赛::理科	力学	资产与实验室管理处 教务处 研究生院 学生处 人事处 团委联合组织 共青团西南交通大学委员会 力学与工程学院 力学实验中心	校级	组队赛	1611	免费
0122::第十一届全国周培源大学生力学竞赛::理科	力学	教育部高等学校力学教学指导委员会力学基础课程教学指导分委员会 中国力学学会 周培源基金会	国家级	个人赛	330000		收费
0123::2017年第十一届全国周培源大学生力学竞赛（上海赛区）--上海大学报名通知::理科	力学	教育部高等学校力学教学指导委员会 力学基础课程教学指导分委员会 中国力学学会 周培源基金会	国家级	个人赛	9944	免费
0124::湘潭大学2017年力学竞赛暨第十三届湖南省大学生力学竞赛选拔赛::理科	力学	湘潭大学教务处	校级	组队赛	1483	免费
